doc_id,relative_filename,byte_size,sha256,source_role
41381_2421401696_0839-00877,41381_2421401696_0839-00877.jpg,1142837,bcca7c1eed0d02502e4f72a17b4cd07426025eacbb91d6c0188be80726e30bb2,source_document_jpeg
41381_2421401696_0840-00248,41381_2421401696_0840-00248.jpg,777826,55264c602a3cd5373545e51999778d0a87922cd6399782936230eaeebc259786,source_document_jpeg
41381_2421401696_0840-00708,41381_2421401696_0840-00708.jpg,804585,a8dc46e03b0ea08faee322095d1ae6f37dff91d3c80c0f110777dd150b3d54c5,source_document_jpeg
41381_2421401696_0840-00879,41381_2421401696_0840-00879.jpg,679217,822968329b327f383128534a3d8e81d4db87b9f48bdf5c123f63d2b162d25cba,source_document_jpeg
41381_2421401696_0841-01943,41381_2421401696_0841-01943.jpg,962241,0b44f49729b59b5a2db7b0e3a8533ad70131d7483347d6dbd4c456cd3ded7967,source_document_jpeg
41381_2421401696_0841-02005,41381_2421401696_0841-02005.jpg,861614,f6d1c731549e333f7b7a1d96218fee177648e45c981789c233d0cd18f09ff096,source_document_jpeg
41381_2421401696_0842-02718,41381_2421401696_0842-02718.jpg,724383,0af145e046cddbee665521cc05dbdfcbbeb6a95fd40cd73b9e883eacfd5ec2cc,source_document_jpeg
41381_2421401696_0844-00916,41381_2421401696_0844-00916.jpg,816925,fed33ea0f5986279978822e4a4b4999b33eb95fdb56d9fb673f6d5197495e5a0,source_document_jpeg
41381_2421401696_0844-01845,41381_2421401696_0844-01845.jpg,810789,5c5dc62b5a0148d86e9f061972965141127a442bde0df3839620d83a276a6b1b,source_document_jpeg
41381_2421401696_0848-02388,41381_2421401696_0848-02388.jpg,1075115,7ab7be1207988f580320419c74e0bea05d193b225062bef03917c03411cb559e,source_document_jpeg
41381_2421401696_0849-02772,41381_2421401696_0849-02772.jpg,857140,ce383ede9cfaf8c598649b65acfd923177d5d0948f20e806da22d71661823436,source_document_jpeg
41381_2421401696_0851-01523,41381_2421401696_0851-01523.jpg,938377,b2d13a1b36493c44ee485d9a5fa69822eb8292e9f4b1f09eb6dc2e0400973dde,source_document_jpeg
41381_2421401696_0851-03440,41381_2421401696_0851-03440.jpg,846815,e2b623474af783bc0b2d3bf99ca9d4e8f33dac66b645cb9791a7fd5ebabaf31d,source_document_jpeg
41381_2421401696_0852-02382,41381_2421401696_0852-02382.jpg,950881,468cb54883f908b37b0bd8ff00eb5a191fece0053a863a1c5cef1b51d0693a5a,source_document_jpeg
41381_2421401696_0853-03292,41381_2421401696_0853-03292.jpg,941521,e04b1cb9e73d6d080ca52a0c865c235038af8d0303bd514ee5434ff30ee8af27,source_document_jpeg
41381_2421401696_0857-00076,41381_2421401696_0857-00076.jpg,1107673,b60967156598a8c13e9c450f9fdcd26182546db03be922e179144abebba049cd,source_document_jpeg
41381_2421401696_0859-00372,41381_2421401696_0859-00372.jpg,1087472,a77a39498f579d30199e080d1e8be539b9bddbb73a0d1e4cbb9e386eda5ada67,source_document_jpeg
41381_2421401696_0859-00381,41381_2421401696_0859-00381.jpg,1058065,ada73878dd6f73507652c9b65a2f53486efddea4f58a7ee5e934b437ff3df3fe,source_document_jpeg
41381_2421401696_0861-01894,41381_2421401696_0861-01894.jpg,864815,8b13eb9d50fe068b49dea023bafd095b5110a823a2fdfea4eebed559822d0f22,source_document_jpeg
41381_2421401696_0867-00616,41381_2421401696_0867-00616.jpg,900202,5d20fedb28f6ebb4b0667843d955994e8a263e6d0c926cb90551ad87434290c2,source_document_jpeg
41381_2421401696_0867-01346,41381_2421401696_0867-01346.jpg,1034696,1bc5f6bbe1928bc5afec03ab0d63aefe1afb54d0f2647afd6788dcef93a205b1,source_document_jpeg
41381_2421401696_0869-01362,41381_2421401696_0869-01362.jpg,1006818,9e948a2dde7004d4463bfcd48081f7261946b8f9540877ae1f330a6f3cfb62fa,source_document_jpeg
41381_2421401696_0871-00284,41381_2421401696_0871-00284.jpg,1100009,eacff6ffa9f8484fe78d1d9ce2741a0c1126922895e964c4e2adc9cc80f7daec,source_document_jpeg
41381_2421401696_0871-03977,41381_2421401696_0871-03977.jpg,1075533,6b2e626b7c7b0727f76d431e163521518bb705ed0c9316afce66003e87c72c8c,source_document_jpeg
41381_2421401696_0872-00093,41381_2421401696_0872-00093.jpg,1110668,c674e484f1d1a56cfd06f776cb4d32f8c182dbc55d979067a71f84ee8be5906e,source_document_jpeg
41381_2421401696_0874-01387,41381_2421401696_0874-01387.jpg,1125792,1f042d81e4d770e2558dbfafd60901892ca4f4eb8fbfc0984f36362e31db13c2,source_document_jpeg
41381_2421401696_0875-01793,41381_2421401696_0875-01793.jpg,876347,98553dff45759bcded18d6dd1463100a37ed6f2bfbeb3b6dfbb4dfbc1c3806f5,source_document_jpeg
41381_2421401696_0878-00597,41381_2421401696_0878-00597.jpg,1079407,4833ad60292f62a25f369249603a15aa17778ca0fa5ec5208184c9a458593184,source_document_jpeg
41381_2421401696_0879-01042,41381_2421401696_0879-01042.jpg,1037524,66915057fa24e989b5dac8b7c23e449096be652c868bd13e99cb218285d94a79,source_document_jpeg
41381_2421401696_0881-02517,41381_2421401696_0881-02517.jpg,1149323,61259c4a34f917e565f814ebd6a5d1e531c3d363c89ad34179a74d68b1de871c,source_document_jpeg
41381_2421401696_0881-03410,41381_2421401696_0881-03410.jpg,1052317,9e1dda39241fabe1849f6190e07bae212f4a2c4bcc88ccd216e2dba4f3b5dea9,source_document_jpeg
41381_2421401696_0885-00663,41381_2421401696_0885-00663.jpg,1049985,afd906574b11fdc43856329befd6bab72b4cd07ce5c2987ff803003b668bf136,source_document_jpeg
41381_2421401696_0885-01001,41381_2421401696_0885-01001.jpg,1062016,64d9484d56ae8e2eedca07124878b636efa8064370c530093b77aca6eb253818,source_document_jpeg
41381_2421401696_0886-01658,41381_2421401696_0886-01658.jpg,951651,b00d4bacd539ff07ddf2f84fd4c50ed340fb76f27cdc83920d8bedcd1d0e4d99,source_document_jpeg
41381_2421401696_0886-02021,41381_2421401696_0886-02021.jpg,1063687,8362649b4dc0fb4a29dd2b253a156941e705020a2b453ab8fe4c7c3276bd015f,source_document_jpeg
41381_2421401696_0889-01774,41381_2421401696_0889-01774.jpg,1081026,c212fbdde36cc9f96bb2ab50d9f70e3c8503ddd93ec599c0c90e54b0e119cdd9,source_document_jpeg
41381_2421401696_0889-02825,41381_2421401696_0889-02825.jpg,1034206,26fb95fb6b076cd0de4caf24aac089853f2c3a5e1c6e86f6eecf2ceb37f03221,source_document_jpeg
41381_2421401696_0890-00505,41381_2421401696_0890-00505.jpg,1118416,f20a21af3685d475b75f71045237bd94bbb4621d08c63c664dfcc3fb20a9b96e,source_document_jpeg
41381_2421401696_0890-00979,41381_2421401696_0890-00979.jpg,1027895,47f684768bb3cdb83f121e705b4bb448678f6ac023a63a1b739db83f0906bd5d,source_document_jpeg
41381_2421401696_0890-01462,41381_2421401696_0890-01462.jpg,1169744,4352fc5a355e909fdd81362968418cbf4adeefa9ef468188d740702f1381d1e6,source_document_jpeg
41381_2421401696_0895-02717,41381_2421401696_0895-02717.jpg,980888,1ae4047768a8d0d2703c8fa5936435a5fdf6b066a9750d1cc05f138dd0740faa,source_document_jpeg
